,year,amount
0,2019,420000
1,2019,50000
2,2019,14595900
3,2019,125000
4,2019,199035
5,2019,90229200
6,2019,70000
7,2019,4000000
8,2019,6634500
9,2019,30000
10,2019,30000
11,2019,30000
12,2019,30000
13,2019,1200000
14,2019,20462000
15,2019,3000000
16,2019,3000000
17,2019,53076000
18,2019,13269000
19,2019,19903500
20,2019,14000000
21,2019,62364300
22,2019,3000000
23,2019,250000
24,2019,25000
25,2019,0
26,2019,6200000
27,2019,0
28,2019,31314840
29,2019,7165260
30,2019,5853000
31,2019,50000
32,2019,50000
33,2019,35000000
34,2019,0
35,2019,3300000
36,2019,1770000
37,2019,100000
38,2019,250000
39,2019,2270000
40,2019,1200000
41,2019,5971050
42,2019,200000
43,2019,7032570
44,2019,6000000
45,2019,18576600
46,2019,1000000
47,2019,7710000
48,2019,1200000
49,2019,2678000
50,2019,3410133
51,2019,95000000
52,2019,2000000
53,2019,750000
54,2019,53076000
55,2019,55000000
56,2019,250000
57,2019,1500000
58,2019,1900000
59,2019,3317250
60,2019,30000
61,2019,39807
62,2019,17000000
63,2019,17249700
64,2019,200000
65,2019,800000
66,2019,2800000
67,2019,26538000
68,2019,13269000
69,2019,1326900
70,2019,50000
71,2019,5000
72,2019,8500000
73,2019,5000
74,2019,2000000
75,2019,11278650
76,2019,20000
77,2019,0
78,2019,250000
79,2019,0
80,2019,120000
81,2019,1143000
82,2019,150000
83,2019,15000000
84,2019,2000000
85,2019,3500000
86,2019,26550000
87,2019,199035
88,2019,3500000
89,2019,1700000
90,2019,4500000
91,2019,1592280
92,2019,331725000
93,2019,59710500
94,2019,0
95,2019,3200000
96,2019,14595900
97,2019,5572980
98,2019,70000000
99,2019,50000
100,2019,50000
101,2019,3500000
102,2019,50000
103,2019,0
104,2019,1000000
105,2019,3317250
106,2019,0
107,2019,21893850
108,2019,1000000
109,2019,150000
110,2019,1500000
111,2019,7944599
112,2019,5971050
113,2019,9951750
114,2021,126000000
115,2019,9951750
116,2019,174421
117,2019,1600000
118,2019,4660000
119,2019,1000000
120,2019,20000000
121,2019,5307600
122,2019,5000000
123,2019,10000000
124,2019,86248500
125,2019,15000000
126,2020,0
127,2020,0
128,2020,54200000
129,2020,27100000
130,2020,1800000
131,2020,30000
132,2020,40650
133,2020,44715000
134,2020,10000000
135,2020,500000
136,2020,20000000
137,2020,500000
138,2020,6775000
139,2020,1000000
140,2020,2303500
141,2020,120000000
142,2020,59500000
143,2020,0
144,2020,2660000
145,2020,29810000
146,2020,74525000
147,2020,0
148,2020,11517500
149,2020,5400000
150,2020,1800000
151,2020,15800000
152,2020,0
153,2020,4963875
154,2020,1100000
155,2020,3000000
156,2020,5046606
157,2020,800000
158,2020,9959250
159,2020,75000
160,2020,500000
161,2020,1355000
162,2020,1600000
163,2020,50000
164,2020,100000
165,2020,6097500
166,2020,5200000
167,2020,25000000
168,2020,750000
169,2020,8130000
170,2020,9300000
171,2020,250000
172,2020,28455000
173,2020,500000
174,2020,2700000
175,2020,6100000
176,2020,32475000
177,2020,1000000
178,2020,1660891
179,2020,175000
180,2020,63700000
181,2020,3000000
182,2020,280000
183,2020,28455000
184,2020,120000
185,2020,120000
186,2020,120000
187,2020,120000
188,2020,120000
189,2020,2125000
190,2020,710000
191,2020,4065000
192,2020,57650100
193,2020,50000
194,2020,500000
195,2020,2000000
196,2020,3400000
197,2020,9485000
198,2020,3230000
199,2020,9100000
200,2020,75000
201,2020,12000000
202,2020,1670000
203,2020,30000
204,2020,30000
205,2020,0
206,2020,7900000
207,2020,10840000
208,2020,39295000
209,2020,7500000
210,2020,8130000
211,2020,9141652
212,2020,100000000
213,2020,1750000
214,2020,0
215,2020,9180106
216,2020,4183500
217,2020,7000000
218,2020,10000000
219,2020,9800000
220,2020,7500000
221,2020,13500000
222,2020,30000
223,2020,25745000
224,2020,775000
225,2020,2811625
226,2020,10000000
227,2020,1000000
228,2020,144000000
229,2020,6601110
230,2020,1693750
231,2020,29800000
232,2020,3500000
233,2020,500000
234,2020,0
235,2020,2800000
236,2020,1400000
237,2020,3468052
238,2020,3371600
239,2020,3000000
240,2020,10000000
241,2020,0
242,2020,15000
243,2020,15000
244,2020,500000
245,2020,52000000
246,2020,1500000
247,2020,750000
248,2020,2100000
249,2020,2750000
250,2020,1500000
251,2020,15000000
252,2020,6000000
253,2020,5000000
254,2020,1200000
255,2020,50000
256,2020,100000
257,2020,50000
258,2020,6500000
259,2020,1240000
260,2020,0
261,2020,2000000
262,2020,10000000
263,2020,8000000
264,2020,13000000
265,2020,3500000
266,2020,1300000
267,2020,345000
268,2020,1250000
269,2020,9400000
270,2020,3000000
271,2020,5102523
272,2020,9503200
273,2020,0
274,2020,800000
275,2020,6500000
276,2020,0
277,2020,0
278,2020,4000000
