roundType,Canada,International,USA
Equity Crowdfunding,1785083.0,956816.5,0.0
Grant,7660414.451612903,0.0,26455575.0
Pre-Seed,2426548.2325581396,2242365.9,3439846.0535714286
Seed,6556381.452753229,6383151.924092409,7925484.954022989
Series ?,25337516.431118313,26570053.563829787,58648810.716836736
Series A,24522095.132623427,31933628.907103825,40262485.46006749
Series B,46762740.78582202,116361335.10483871,69263048.84690158
Series C,85240673.58646616,162864107.6470588,140907775.7232376
Series D,92599245.82945736,132568498.53846154,148997531.94871795
Series E,105558771.42857143,63665902.17391305,242376441.3043478
Series F,100752312.5,57603700.0,330679563.0769231
Series G,0.0,0.0,324040637.7777778
nan,0.0,12567550.0,0.0
