,quarter,roundType,amount
0,2019Q1,Pre-Seed,178531.77551020408
1,2019Q1,Seed,1153223.0847457626
2,2019Q1,Series ?,14217869.0
3,2019Q1,Series A,13051545.0
4,2019Q1,Series B,22492452.666666668
5,2019Q1,Series C,22750000.0
6,2019Q1,Series D,55477380.0
7,2019Q2,Grant,0.0
8,2019Q2,Pre-Seed,357114.9166666667
9,2019Q2,Seed,1516796.037037037
10,2019Q2,Series ?,11908439.038461538
11,2019Q2,Series A,11939074.461538462
12,2019Q2,Series B,30926722.75
13,2019Q2,Series C,6634500.0
14,2019Q3,Grant,52500.0
15,2019Q3,Pre-Seed,375381.92307692306
16,2019Q3,Seed,1547362.0151515151
17,2019Q3,Series ?,10033031.72
18,2019Q3,Series A,8448017.714285715
19,2019Q3,Series B,39430156.81818182
20,2019Q3,Series C,45742930.0
21,2019Q3,Series D,165493750.0
22,2019Q4,Pre-Seed,363826.5833333333
23,2019Q4,Seed,2482053.723404255
24,2019Q4,Series ?,5385178.722222222
25,2019Q4,Series A,33967913.083333336
26,2019Q4,Series B,15170180.833333334
27,2019Q4,Series C,40000000.0
28,2019Q4,Series D,64571995.0
29,2019Q4,Series E,86248500.0
30,2020Q1,Pre-Seed,123375.0
31,2020Q1,Seed,1337563.68852459
32,2020Q1,Series ?,4983308.266666667
33,2020Q1,Series A,18848988.888888888
34,2020Q1,Series B,28672857.14285714
35,2020Q1,Series C,59233333.333333336
36,2020Q1,Series D,53500000.0
37,2020Q1,Series E,62785300.0
38,2020Q2,Pre-Seed,409251.7083333333
39,2020Q2,Seed,2113734.0217391304
40,2020Q2,Series ?,7315113.853658536
41,2020Q2,Series A,8732504.416666666
42,2020Q2,Series B,33874622.222222224
43,2020Q2,Series C,40217500.0
44,2020Q2,Series D,9700000.0
45,2020Q2,Series E,230350000.0
46,2020Q3,Grant,1616666.6666666667
47,2020Q3,Pre-Seed,60464.90909090909
48,2020Q3,Seed,1647800.352112676
49,2020Q3,Series ?,19236265.535714287
50,2020Q3,Series A,7183510.363636363
51,2020Q3,Series B,17666666.666666668
52,2020Q3,Series C,39400000.0
53,2020Q3,Series D,6794320.0
54,2020Q4,Grant,33333.333333333336
55,2020Q4,Pre-Seed,328612.36363636365
56,2020Q4,Seed,2499996.4571428574
57,2020Q4,Series ?,4958995.576923077
58,2020Q4,Series A,11298408.173913043
59,2020Q4,Series B,11479098.666666666
60,2020Q4,Series C,0.0
61,2020Q4,Series E,222000000.0
62,2021Q1,Equity Crowdfunding,911548.5
63,2021Q1,Grant,925289.875
64,2021Q1,Pre-Seed,375208.1842105263
65,2021Q1,Seed,2136803.5967741935
66,2021Q1,Series ?,16048586.833333334
