yearQuarter,Equity Crowdfunding,Grant,Pre-Seed,Seed,Series ?,Series A,Series B,Series C,Series D,Series E,Series F,Series G
2019 Q1,0.0,0.0,49.0,59.0,21.0,8.0,12.0,3.0,1.0,0.0,0.0,0.0
2019 Q2,0.0,1.0,24.0,54.0,26.0,13.0,16.0,2.0,0.0,0.0,0.0,0.0
2019 Q3,0.0,2.0,25.0,66.0,25.0,14.0,11.0,5.0,4.0,0.0,0.0,0.0
2019 Q4,0.0,0.0,25.0,48.0,18.0,12.0,6.0,1.0,6.0,1.0,0.0,0.0
2020 Q1,0.0,0.0,20.0,60.0,30.0,18.0,7.0,3.0,2.0,1.0,0.0,0.0
2020 Q2,0.0,0.0,24.0,46.0,41.0,24.0,9.0,6.0,1.0,1.0,0.0,0.0
2020 Q3,0.0,3.0,11.0,71.0,28.0,21.0,6.0,4.0,2.0,0.0,0.0,0.0
2020 Q4,0.0,3.0,11.0,35.0,26.0,25.0,3.0,1.0,0.0,1.0,0.0,0.0
2021 Q1,2.0,8.0,39.0,62.0,42.0,26.0,7.0,6.0,1.0,1.0,1.0,0.0
2021 Q2,4.0,9.0,23.0,73.0,21.0,28.0,12.0,8.0,3.0,2.0,1.0,0.0
2021 Q3,1.0,3.0,23.0,63.0,24.0,24.0,16.0,3.0,1.0,1.0,0.0,1.0
2021 Q4,1.0,4.0,33.0,55.0,18.0,29.0,16.0,1.0,2.0,1.0,0.0,1.0
2022 Q1,0.0,0.0,18.0,69.0,22.0,37.0,12.0,5.0,4.0,0.0,0.0,0.0
2022 Q2,0.0,0.0,16.0,53.0,3.0,22.0,10.0,2.0,0.0,0.0,0.0,1.0
2022 Q3,0.0,0.0,16.0,19.0,15.0,18.0,2.0,2.0,0.0,0.0,0.0,0.0
2022 Q4,0.0,4.0,3.0,19.0,21.0,8.0,7.0,6.0,1.0,2.0,0.0,0.0
2023 Q1,0.0,1.0,9.0,13.0,12.0,12.0,7.0,1.0,1.0,0.0,0.0,0.0
2023 Q2,0.0,0.0,11.0,14.0,26.0,17.0,9.0,4.0,1.0,0.0,0.0,0.0
2023 Q3,0.0,0.0,3.0,21.0,15.0,10.0,5.0,2.0,1.0,0.0,1.0,0.0
2023 Q4,0.0,0.0,4.0,17.0,17.0,10.0,2.0,1.0,1.0,1.0,0.0,0.0
2024 Q1,0.0,0.0,8.0,19.0,12.0,10.0,3.0,1.0,0.0,0.0,0.0,0.0
2024 Q2,0.0,0.0,4.0,21.0,22.0,12.0,6.0,2.0,1.0,1.0,0.0,0.0
2024 Q3,1.0,2.0,7.0,17.0,13.0,13.0,6.0,2.0,1.0,0.0,1.0,0.0
2024 Q4,0.0,1.0,9.0,18.0,19.0,11.0,6.0,3.0,2.0,0.0,0.0,0.0
2025 Q1,0.0,0.0,4.0,7.0,2.0,7.0,4.0,3.0,0.0,0.0,0.0,0.0
