sectorGroup,Equity Crowdfunding,Grant,Pre-Seed,Seed,Series ?,Series A,Series B,Series C,Series D,Series E,Series F,Series G
Data and Information System,1.0,3.0,61.0,106.0,54.0,66.0,25.0,10.0,2.0,1.0,0.0,0.0
"Engineering, and Construction",0.0,0.0,21.0,40.0,14.0,13.0,6.0,0.0,2.0,0.0,0.0,0.0
Environment and Agriculture,0.0,8.0,15.0,64.0,62.0,44.0,17.0,6.0,3.0,4.0,1.0,0.0
"Finance, Business, and Marketing",5.0,3.0,91.0,203.0,99.0,85.0,54.0,19.0,7.0,4.0,1.0,2.0
Health and Biotech,0.0,9.0,66.0,162.0,90.0,68.0,24.0,14.0,5.0,1.0,0.0,0.0
"Media, Communications, and Entertainment",0.0,0.0,12.0,28.0,11.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0
Others,0.0,1.0,10.0,29.0,13.0,8.0,0.0,1.0,0.0,0.0,0.0,0.0
Services and Security,0.0,4.0,29.0,61.0,28.0,24.0,16.0,4.0,6.0,1.0,0.0,0.0
Technology and Software,3.0,12.0,97.0,280.0,138.0,106.0,50.0,19.0,11.0,1.0,1.0,0.0
Travel and Logistics,0.0,1.0,17.0,26.0,10.0,10.0,7.0,4.0,0.0,1.0,1.0,1.0
