investorName,2019 Q1,2019 Q2,2019 Q3,2019 Q4,2020 Q1,2020 Q2,2020 Q3,2020 Q4,2021 Q1,2021 Q2,2021 Q3,2021 Q4,2022 Q1,2022 Q2,2022 Q3,2022 Q4,2023 Q1,2023 Q2,2023 Q3,2023 Q4,2024 Q1,2024 Q2,2024 Q3,2024 Q4,2025 Q1
BDC Capital,9,8,8,9,4,6,8,2,11,13,9,12,11,5,7,7,3,12,8,8,3,5,5,3,3
Y Combinator,4,2,6,0,4,2,10,1,6,5,11,5,18,2,1,3,0,1,1,2,1,2,1,0,1
Inovia Capital,1,2,7,1,3,2,2,1,6,9,1,4,6,6,0,1,0,4,1,4,2,2,5,2,1
Techstars,7,5,11,3,3,2,3,1,8,4,6,3,2,0,1,1,0,0,1,0,0,2,1,2,0
Export Development Canada,1,0,0,0,0,2,6,1,3,1,3,2,6,1,3,4,5,5,4,3,3,4,0,1,2
Real Ventures,7,6,5,5,3,2,2,2,3,5,3,5,3,0,1,0,3,1,1,0,0,1,1,0,0
Panache Ventures,2,5,2,5,1,3,3,0,6,4,4,3,4,3,1,2,0,1,1,0,0,1,1,2,0
Golden Ventures,0,1,5,2,2,1,0,1,5,6,5,7,4,2,2,1,2,1,2,1,0,0,1,1,0
Garage Capital,0,1,0,1,0,3,2,0,4,5,4,8,3,4,0,3,2,1,1,1,0,2,0,0,1
Desjardins Capital,1,2,2,2,3,2,1,3,1,4,3,2,4,1,2,2,1,4,0,0,0,2,1,0,1
