,year,Data and Information System,"Engineering, and Construction",Environment and Agriculture,"Finance, Business, and Marketing",Health and Biotech,"Media, Communications, and Entertainment",Others,Services and Security,Technology and Software,Travel and Logistics
0,2019 Q1,28893778,5743648,132393860,222846610,47176971,50000,17265942,146008550,272669883,363398
1,2019 Q2,34934624,9493425,21089000,322309546,308819466,1679419,10000,5037859,332211102,27817250
2,2019 Q3,255623503,17630087,129621950,695725679,130691846,56365110,4561351,20358280,493023937,608496
3,2019 Q4,108140745,15651176,124212540,293352233,243444765,0,1921095,301936981,126113562,19164995
4,2020 Q1,203732500,9756000,122855000,170348320,420137069,0,8258607,78267187,96380550,9300000
5,2020 Q2,63608225,11795000,41700000,282555773,334562390,7900000,15083412,77700000,332061630,235813750
6,2020 Q3,66807000,106250000,29358317,433384509,155826429,2406000,3005000,55562133,235581479,169375
7,2020 Q4,60867928,11400064,3950000,386633772,84611559,9844745,1761500,67907296,99188092,42284225
8,2021 Q1,109856271,5594401,207284294,739695040,344719400,2397740,21800000,391128856,630517044,288990876
9,2021 Q2,565563400,6410000,106558000,1179174949,470704304,13228000,0,525486800,1631504881,160147360
10,2021 Q3,501747100,61795628,220199500,1382043282,404439322,852597,1585541,280191047,580139447,176200000
11,2021 Q4,213025000,6250000,210200000,880051658,187820000,14888000,63625000,10910000,1260818658,144510000
12,2022 Q1,250700000,69962890,481600000,993284768,479107240,26016515,19715740,1175485820,1343896696,21375000
13,2022 Q2,93901287,100650000,112308072,1072450234,35499285,0,3200000,176765000,314025000,7000000
14,2022 Q3,67800000,59500000,75000000,149700000,63882870,16710755,25000000,16700000,217423742,24049956
15,2022 Q4,173502600,10550000,422500000,383257675,146375950,750000,75000000,129771250,709874096,205000000
16,2023 Q1,66076192,41600000,137369870,180100000,64600000,3000000,50000000,22321447,292777800,20000000
17,2023 Q2,681772662,56111292,244522479,85730000,677383785,0,0,157049975,431743695,174528800
18,2023 Q3,323639040,17500000,249334800,224929475,144412625,1500000,0,37464875,202901420,4650000
19,2023 Q4,183550177,10000000,256680000,383595863,41500000,68000000,0,5700000,200700000,0
20,2024 Q1,160988250,34118200,32000000,159119202,113898119,16800000,10121840,29150000,279269487,0
21,2024 Q2,663277960,56022150,264943288,140350000,46470810,26017550,9150000,69420075,390788325,344049000
22,2024 Q3,765950000,43000000,318800000,70850000,75082000,0,20000000,22000000,1525275000,13600000
23,2024 Q4,194800003,7000000,163400000,1448400000,465460066,2900000,0,32800000,1019026951,47375000
24,2025 Q1,24500000,0,52800000,100450000,240300009,0,237880000,0,102300000,3000000
